response_id,date,year,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
80,11/01/2019,2019,35-44,Female,100,100,49,1,0,80,75,100,74,0,100,77,100,62,56,37,51,54,35,81,78,79,81,73,79,20,79,1,0,0,0,0,,,,,,,,,
81,11/01/2019,2019,45-54,Female,100,100,50,25,50,25,23,95,51,0,95,94,85,90,50,50,85,75,15,90,80,81,90,75,70,20,97,1,1,0,1,1,,,,,,,,,
82,11/01/2019,2019,35-44,Female,45,100,72,12,0,100,50,100,50,0,100,50,50,100,0,40,50,50,28,100,100,100,50,100,50,34,100,1,1,0,1,1,,,,,,,,,
83,11/01/2019,2019,35-44,Female,21,70,50,20,71,40,40,31,40,80,75,80,85,55,80,0,100,50,15,75,75,50,65,66,55,0,70,0,0,0,0,0,,,,,,,,,
84,11/01/2019,2019,35-44,Female,50,99,93,47,85,11,13,22,62,67,100,100,50,73,40,50,50,53,17,73,55,47,92,50,37,60,100,1,0,0,1,0,,,,,,,,,
85,11/01/2019,2019,35-44,Female,100,100,35,60,46,25,32,75,35,5,74,100,75,80,45,15,35,80,60,85,85,72,85,40,62,40,85,1,0,1,1,1,,,,,,,,,
86,11/01/2019,2019,45-54,Female,100,100,0,0,15,60,,50,70,0,100,100,85,100,80,25,90,85,25,100,100,90,80,80,85,10,70,1,0,0,0,,,,,,,,,,
87,11/01/2019,2019,35-44,Female,90,90,50,20,50,80,80,80,85,5,85,75,85,80,50,45,85,85,35,80,90,85,65,50,25,60,80,1,0,0,0,1,,,,,,,,,
88,11/01/2019,2019,45-54,Female,85,87,75,13,88,63,55,,,42,93,64,82,54,70,35,50,50,32,72,71,68,48,50,93,13,75,1,1,1,1,1,,,,,,,,,
89,11/01/2019,2019,45-54,Male,100,100,0,0,50,24,50,43,100,0,100,100,100,76,51,40,50,50,50,100,100,50,51,50,83,22,77,1,0,0,1,1,,,,,,,,,
90,11/01/2019,2019,45-54,Male,65,62,10,0,0,70,53,100,74,7,100,0,92,70,100,51,73,69,23,84,90,87,80,67,73,32,73,1,1,0,1,1,,,,,,,,,
91,11/01/2019,2019,35-44,Male,100,100,0,0,50,66,70,100,100,5,100,100,100,100,70,60,85,85,50,95,95,50,72,80,95,20,80,1,0,0,1,1,,,,,,,,,
92,11/01/2019,2019,35-44,Male,100,50,0,0,0,40,32,100,100,75,80,100,100,100,54,55,75,55,35,60,70,100,100,80,80,25,65,1,0,0,0,,,,,,,,,,
93,11/01/2019,2019,35-44,Female,100,90,70,10,100,0,0,80,10,70,100,100,70,70,70,40,50,0,2,50,50,50,100,100,80,7,80,1,0,0,1,1,,,,,,,,,
94,11/01/2019,2019,35-44,Female,50,100,52,37,51,0,0,0,50,100,50,100,50,51,52,50,50,50,0,50,50,50,51,100,50,33,54,0,1,0,0,0,,,,,,,,,
95,11/01/2019,2019,35-44,Female,89,81,50,0,44,50,50,88,90,74,13,84,90,88,72,39,93,83,60,50,50,61,63,80,18,18,,0,0,0,0,0,,,,,,,,,
96,11/01/2019,2019,45-54,Female,100,50,50,7,100,55,50,83,85,50,33,52,82,50,50,20,50,50,22,32,40,50,46,10,34,3,74,1,1,1,1,1,,,,,,,,,
97,11/01/2019,2019,35-44,Female,95,60,0,0,5,52,46,72,36,75,50,65,50,55,45,50,50,5,15,35,45,50,50,62,60,30,35,1,1,0,1,1,,,,,,,,,
98,11/01/2019,2019,45-54,Male,100,100,0,2,0,11,47,100,100,57,100,100,100,72,55,35,86,57,41,51,55,66,53,82,81,60,100,0,0,1,1,0,,,,,,,,,
99,11/01/2019,2019,35-44,Female,,49,0,50,50,49,25,69,65,0,100,100,51,100,72,30,75,100,10,100,100,80,80,100,100,0,100,1,1,0,0,1,,,,,,,,,
100,11/01/2019,2019,35-44,Female,13,55,50,22,25,25,35,46,52,0,50,100,65,63,15,25,67,25,0,50,50,45,35,45,50,25,40,1,0,0,1,0,,,,,,,,,
101,11/01/2019,2019,55-64,Female,10,100,53,33,51,52,36,99,99,98,90,100,98,60,47,52,51,51,15,54,56,50,52,71,98,40,85,1,1,0,1,1,,,,,,,,,
102,11/01/2019,2019,35-44,Female,81,85,0,21,51,70,65,100,80,50,100,80,80,80,40,30,75,75,46,,45,70,80,80,80,60,80,1,1,0,0,,,,,,,,,,
103,11/01/2019,2019,35-44,Female,100,100,49,13,32,22,20,68,67,10,25,100,77,74,74,60,70,67,35,82,83,50,49,90,81,60,98,1,0,0,1,1,,,,,,,,,
104,11/01/2019,2019,45-54,Male,100,60,100,0,60,0,65,100,100,0,50,100,55,100,70,40,50,45,45,50,50,50,50,70,80,25,90,1,1,0,1,1,,,,,,,,,
105,11/01/2019,2019,35-44,Female,100,81,100,8,7,47,49,100,51,0,100,80,100,73,0,50,100,100,16,100,100,81,100,100,100,26,72,1,0,0,1,1,,,,,,,,,
106,11/01/2019,2019,35-44,Male,100,99,99,0,0,0,0,99,52,0,99,98,98,100,98,51,51,72,40,99,98,64,63,64,99,20,81,1,1,0,1,0,,,,,,,,,
107,11/01/2019,2019,35-44,Female,100,100,50,0,1,50,50,78,56,26,74,,92,85,93,43,90,87,24,69,66,75,95,91,40,25,77,1,,0,1,1,,,,,,,,,
108,11/01/2019,2019,45-54,Female,50,26,45,5,17,45,50,80,80,50,65,95,70,88,86,15,35,35,15,16,25,57,60,75,60,30,80,1,1,0,0,,,,,,,,,,
109,11/01/2019,2019,45-54,Female,100,100,65,100,50,50,90,40,60,60,90,90,100,90,5,45,70,65,20,85,85,70,85,90,85,30,70,1,1,0,0,1,,,,,,,,,
110,11/01/2019,2019,35-44,Female,82,65,13,0,12,80,80,85,84,67,52,75,76,52,79,51,52,52,30,54,52,46,53,62,57,36,76,1,1,0,1,1,,,,,,,,,
111,11/01/2019,2019,25-34,Female,90,95,70,35,90,55,50,80,90,20,30,98,90,75,75,7,85,72,2,90,86,71,75,75,80,10,98,1,1,0,0,,,,,,,,,,
112,11/01/2019,2019,45-54,Female,93,67,47,4,5,50,72,75,55,50,50,74,73,50,50,33,24,25,25,26,48,37,36,42,53,33,75,1,0,0,0,,,,,,,,,,
113,11/01/2019,2019,35-44,Female,94,95,97,47,95,70,65,70,92,0,95,87,77,80,95,39,82,50,50,95,92,80,82,76,70,25,99,1,0,0,1,1,,,,,,,,,
114,11/01/2019,2019,55-64,Female,99,100,1,0,0,76,62,99,99,1,100,100,100,100,79,60,100,80,40,100,100,100,100,100,100,10,84,1,1,0,,,,,,,,,,,
115,11/01/2019,2019,45-54,Female,90,90,50,50,90,80,85,80,10,90,80,81,75,80,20,55,70,41,10,70,60,90,70,70,40,60,91,1,1,0,1,1,,,,,,,,,
116,11/01/2019,2019,25-34,Female,80,96,45,95,46,0,36,50,50,50,50,50,30,25,0,22,0,50,50,50,50,25,0,30,100,0,50,1,0,0,0,,,,,,,,,,
117,11/01/2019,2019,35-44,Female,25,98,98,30,97,26,31,51,97,98,99,83,97,86,74,58,32,15,21,99,97,74,69,67,95,12,97,1,1,1,0,,,,,,,,,,
118,11/01/2019,2019,65-74,Male,100,100,50,5,3,71,73,99,98,0,100,99,100,100,99,25,99,66,60,100,100,99,81,92,100,11,100,1,1,1,,0,,,,,,,,,
119,11/01/2019,2019,35-44,Female,12,99,9,10,51,7,44,18,91,99,3,97,78,94,61,50,49,50,49,99,99,11,,1,98,2,99,1,0,0,0,0,,,,,,,,,
120,11/01/2019,2019,35-44,Female,100,75,76,39,64,50,50,83,54,0,75,100,76,100,100,34,100,74,21,100,100,76,88,50,89,20,80,1,1,0,1,1,,,,,,,,,
121,11/01/2019,2019,25-34,Female,96,100,51,73,73,44,74,75,52,0,94,94,87,69,50,40,79,77,10,86,87,89,90,78,76,31,89,1,0,0,1,1,,,,,,,,,
122,11/01/2019,2019,45-54,Male,98,98,98,5,95,70,70,98,98,2,98,98,98,80,75,35,50,50,25,95,93,75,90,50,98,20,95,1,1,0,1,0,,,,,,,,,
123,11/01/2019,2019,35-44,Female,98,99,1,1,1,10,10,90,30,40,50,90,50,50,40,40,20,20,10,60,60,60,60,50,50,30,70,1,1,0,1,1,,,,,,,,,
124,11/01/2019,2019,45-54,Female,100,100,40,0,100,100,100,,100,0,100,100,100,100,50,50,100,100,0,100,100,100,100,100,100,25,100,1,1,0,0,1,,,,,,,,,
125,11/01/2019,2019,35-44,Male,90,93,96,4,50,88,91,91,97,4,49,94,96,100,50,50,90,80,60,87,94,84,86,89,92,50,90,1,1,1,1,1,,,,,,,,,
126,11/01/2019,2019,45-54,Male,100,100,0,0,0,0,0,100,100,50,50,97,50,95,37,57,75,91,15,37,85,81,74,95,94,15,95,1,1,0,1,1,,,,,,,,,
127,11/01/2019,2019,55-64,Female,99,99,0,0,8,72,52,57,50,17,25,55,73,52,50,0,0,0,7,50,50,50,50,97,98,0,50,1,1,0,1,0,,,,,,,,,
128,11/01/2019,2019,25-34,Male,47,93,4,4,4,47,43,90,97,48,49,96,95,93,94,60,89,91,21,95,94,85,88,99,50,20,97,1,1,0,0,,,,,,,,,,
129,11/01/2019,2019,35-44,Female,0,100,50,0,0,36,35,65,46,0,50,99,61,50,35,58,30,40,26,85,86,85,50,66,96,15,80,1,0,0,1,1,,,,,,,,,
130,11/01/2019,2019,35-44,Female,100,100,80,20,47,40,30,65,67,25,85,80,95,80,95,25,95,90,50,98,98,85,90,80,83,15,90,1,1,0,0,,,,,,,,,,
131,11/01/2019,2019,45-54,Male,100,70,100,0,100,50,60,80,60,0,100,80,100,50,50,60,80,80,40,100,100,100,100,100,20,60,90,1,0,0,1,1,,,,,,,,,
132,11/01/2019,2019,55-64,Female,10,98,50,10,1,92,87,5,95,5,51,87,95,90,47,5,5,21,60,94,88,86,90,50,7,60,96,1,1,1,0,,,,,,,,,,
133,11/01/2019,2019,35-44,Female,98,98,98,2,10,98,85,98,15,45,60,85,95,95,60,10,5,5,25,95,100,75,95,90,50,0,30,1,1,0,0,,,,,,,,,,
134,11/01/2019,2019,35-44,Female,50,95,0,0,0,95,95,95,97,0,97,87,50,95,95,0,50,96,50,96,96,94,94,93,94,50,50,1,1,1,0,0,,,,,,,,,
135,11/01/2019,2019,35-44,Female,100,100,20,20,35,60,70,100,60,50,60,70,70,70,40,40,80,75,30,90,90,80,80,70,80,20,100,1,1,0,,,,,,,,,,,
136,11/01/2019,2019,35-44,Female,93,95,95,15,94,95,95,95,50,5,50,90,50,50,95,25,50,35,20,,25,25,25,50,50,50,95,1,1,1,1,1,,,,,,,,,
137,11/01/2019,2019,35-44,Male,100,100,0,0,0,5,50,95,50,50,70,100,50,75,50,50,25,50,2,100,98,50,90,80,100,15,100,1,0,0,,1,,,,,,,,,
138,11/01/2019,2019,35-44,Female,100,95,80,27,72,55,53,30,75,80,82,80,45,70,53,40,70,53,15,72,72,50,75,73,80,35,80,1,0,,0,,,,,,,,,,
139,11/01/2019,2019,45-54,Male,96,97,65,8,63,33,63,63,92,35,49,69,58,61,50,44,66,62,29,73,88,63,87,71,85,44,78,1,0,0,1,1,,,,,,,,,
140,11/01/2019,2019,35-44,Female,100,100,0,0,0,100,100,100,51,0,50,100,50,100,0,30,50,50,15,50,50,100,100,100,50,20,50,1,1,0,1,1,,,,,,,,,
141,11/01/2019,2019,35-44,Female,99,95,50,10,24,85,100,97,67,1,50,99,99,85,80,60,87,85,35,90,75,55,73,81,61,10,50,1,1,0,1,0,,,,,,,,,
142,11/01/2019,2019,45-54,Female,100,100,0,0,0,15,15,100,100,0,100,100,65,100,0,30,50,25,44,100,100,100,100,75,100,47,70,1,0,0,1,0,,,,,,,,,
143,27/10/2019,2019,18-24,Male,100,52,52,0,0,0,50,35,100,0,50,90,60,80,20,39,75,100,30,100,100,85,90,15,75,20,95,1,1,1,1,1,,,,,,,,,
144,23/06/2020,2020,25-34,Male,100,100,47,3,0,46,50,51,52,0,100,90,100,91,100,45,100,100,38,72,100,89,100,94,87,3,87,1,0,0,0,0,,,,,,,,,
145,23/06/2020,2020,25-34,Male,100,75,100,6,80,70,75,80,100,2,91,95,60,90,51,40,70,80,30,51,50,80,85,90,51,16,90,1,1,0,1,1,,,,,,,,,
146,22/06/2020,2020,45-54,Female,100,100,0,0,47,54,38,50,100,55,54,100,100,100,100,40,32,41,18,100,100,70,100,80,100,16,100,1,1,0,0,0,,,,,,,,,
147,22/06/2020,2020,45-54,Female,82,100,63,91,69,71,62,68,94,,96,90,99,87,72,44,73,58,28,100,100,91,100,92,88,15,90,1,0,0,0,,,,,,,,,,
148,22/06/2020,2020,65-74,Male,95,97,51,0,30,53,64,96,98,0,96,99,96,89,99,22,96,97,60,96,99,99,96,83,99,15,81,1,1,1,0,,,,,,,,,,
149,22/06/2020,2020,45-54,Female,100,100,0,0,51,80,80,90,50,0,2,70,75,60,100,20,40,46,15,75,75,70,70,80,90,50,76,1,1,0,0,1,,,,,,,,,
150,22/06/2020,2020,35-44,Female,100,100,0,9,61,88,70,80,71,0,7,91,100,96,8,33,89,58,42,100,100,91,65,85,85,20,100,1,0,0,1,1,,,,,,,,,
151,21/06/2020,2020,55-64,Female,100,100,63,30,90,30,20,70,30,60,90,90,90,60,90,60,100,40,20,75,75,90,90,90,100,15,90,1,0,0,1,1,,,,,,,,,
152,20/06/2020,2020,45-54,Female,98,85,0,1,0,50,50,50,50,1,80,100,80,75,1,8,75,100,15,50,50,50,35,65,100,,75,1,0,0,0,0,,,,,,,,,
153,19/06/2020,2020,45-54,Female,96,100,100,49,100,50,51,49,44,4,100,100,100,100,100,44,100,100,41,100,100,66,100,100,100,26,100,1,1,0,0,1,,,,,,,,,
154,19/06/2020,2020,45-54,Female,100,100,87,0,1,88,48,100,53,54,70,92,80,88,77,30,81,28,5,94,100,95,93,91,98,8,93,1,1,0,1,1,,,,,,,,,
155,19/06/2020,2020,25-34,Female,100,100,73,0,70,50,50,50,50,2,49,50,100,82,11,0,83,70,60,100,100,100,100,100,100,40,36,1,1,1,1,1,,,,,,,,,
156,19/06/2020,2020,35-44,Female,100,83,1,31,2,72,80,85,31,6,73,81,91,81,40,40,80,49,52,79,82,76,100,72,80,17,78,1,1,0,1,1,,,,,,,,,
157,19/06/2020,2020,45-54,Female,100,99,0,0,0,24,56,75,51,97,100,100,100,100,69,45,78,70,40,100,100,85,86,100,100,18,100,1,1,0,1,1,,,,,,,,,
158,19/06/2020,2020,35-44,Female,100,100,100,0,100,0,0,60,100,0,0,100,100,100,50,0,0,100,60,100,100,100,100,100,100,0,100,1,1,0,0,,,,,,,,,,
159,19/06/2020,2020,35-44,Female,100,53,11,11,9,71,60,60,69,50,68,74,52,50,13,0,51,48,28,9,40,60,51,49,50,51,72,1,1,0,0,1,,,,,,,,,
160,19/06/2020,2020,45-54,Female,95,93,7,8,7,50,48,73,54,52,31,82,49,72,52,22,86,51,53,52,52,53,54,42,67,0,97,0,1,0,1,,,,,,,,,,
161,18/06/2020,2020,45-54,Female,100,67,0,0,51,60,58,65,52,0,48,100,30,56,100,40,100,13,14,100,100,71,65,71,49,11,100,1,1,0,1,1,,,,,,,,,
162,18/06/2020,2020,55-64,Male,100,100,51,1,75,66,55,53,52,35,91,90,71,80,63,40,58,72,40,73,77,77,54,74,100,28,75,1,0,0,1,1,,,,,,,,,
163,18/06/2020,2020,45-54,Female,100,100,16,6,35,32,11,82,51,29,80,82,88,65,80,60,77,37,15,87,100,78,81,90,92,30,89,1,1,1,1,1,,,,,,,,,
164,17/06/2020,2020,35-44,Female,100,100,68,4,53,70,50,87,51,52,100,79,100,88,80,33,81,52,29,90,92,95,97,90,90,4,86,1,1,1,0,,,,,,,,,,
165,17/06/2020,2020,35-44,Female,100,100,0,0,0,54,53,73,71,0,100,85,80,85,0,49,75,35,11,100,89,87,100,87,85,30,100,1,0,0,1,1,,,,,,,,,
166,17/06/2020,2020,55-64,Female,100,100,75,18,49,49,19,67,78,0,100,100,100,100,100,40,86,57,36,100,100,100,100,90,100,25,100,1,1,1,1,1,,,,,,,,,
167,17/06/2020,2020,35-44,Female,100,54,47,16,50,31,13,41,36,8,50,64,23,42,68,12,15,51,7,49,42,51,19,28,78,20,80,1,1,0,0,1,,,,,,,,,
168,17/06/2020,2020,35-44,Female,100,50,0,4,55,67,31,81,72,4,33,74,74,51,9,34,64,57,47,84,69,60,50,29,81,34,93,1,1,0,0,0,,,,,,,,,
169,17/06/2020,2020,35-44,Female,100,100,0,8,61,71,32,80,60,21,68,71,74,71,40,30,52,50,60,91,91,87,83,81,83,30,86,1,1,0,0,1,,,,,,,,,
170,17/06/2020,2020,45-54,Female,13,100,6,19,55,66,47,76,100,22,14,62,77,93,33,38,100,76,50,100,100,100,100,75,95,40,51,0,0,0,0,0,,,,,,,,,
171,16/06/2020,2020,25-34,Male,100,100,0,8,0,4,6,80,80,2,49,100,40,70,8,40,24,26,26,83,87,52,31,39,36,31,87,1,0,0,1,0,,,,,,,,,
172,16/06/2020,2020,45-54,Female,100,37,16,32,46,14,20,90,80,18,82,100,64,88,51,40,87,84,11,47,53,51,52,72,74,40,87,1,0,0,1,1,,,,,,,,,
173,16/06/2020,2020,45-54,Female,100,82,0,22,19,34,34,72,87,0,47,96,80,89,15,50,33,71,48,74,80,61,29,69,67,53,72,1,1,0,1,1,,,,,,,,,
174,16/06/2020,2020,35-44,Female,95,100,0,15,23,84,50,85,74,5,20,100,74,50,11,,0,46,20,91,93,72,50,64,77,29,73,1,0,0,0,0,,,,,,,,,
175,16/06/2020,2020,35-44,Female,100,100,48,10,50,80,70,80,30,,70,95,70,90,0,30,50,65,15,95,90,70,80,65,60,30,95,0,1,0,0,0,,,,,,,,,
176,16/06/2020,2020,55-64,Female,100,100,51,17,52,90,9,100,57,45,100,100,100,100,70,40,100,100,40,100,84,100,100,100,85,20,100,1,1,0,1,1,,,,,,,,,
177,16/06/2020,2020,45-54,Female,100,100,60,40,94,70,60,75,51,25,65,79,81,65,60,30,65,62,52,100,100,74,83,72,66,30,83,1,0,0,0,0,,,,,,,,,
178,16/06/2020,2020,45-54,Male,100,70,50,33,48,35,35,70,80,50,50,100,90,70,90,45,49,34,15,25,75,40,67,71,100,35,70,1,1,1,1,1,,,,,,,,,
179,16/06/2020,2020,25-34,Female,100,75,30,15,20,50,40,70,60,3,80,90,,60,10,40,70,63,40,83,82,70,70,72,75,36,81,1,0,0,1,1,,,,,,,,,
180,16/06/2020,2020,25-34,Female,100,100,26,20,70,70,60,80,80,30,100,90,90,95,11,30,80,90,32,100,100,85,70,75,75,40,100,0,0,0,0,0,,,,,,,,,
181,16/06/2020,2020,45-54,Female,100,84,0,25,100,89,85,90,90,2,90,8,96,50,7,40,94,86,30,90,100,91,93,90,100,35,100,1,1,0,1,1,,,,,,,,,
182,16/06/2020,2020,45-54,Female,100,85,3,3,48,70,48,70,79,1,96,94,50,86,74,40,79,78,32,92,90,81,84,78,85,60,94,1,0,0,1,1,,,,,,,,,
183,16/06/2020,2020,25-34,Female,100,100,0,10,50,75,80,85,100,0,95,100,85,85,100,37,70,65,60,100,100,75,70,80,90,35,85,1,0,0,1,1,,,,,,,,,
184,16/06/2020,2020,45-54,Female,100,100,0,11,48,38,46,57,7,4,6,71,76,75,53,37,76,64,32,76,73,72,53,74,60,22,53,1,1,0,0,0,,,,,,,,,
185,16/06/2020,2020,25-34,Female,100,80,0,5,50,50,50,80,100,0,90,70,80,80,70,16,50,15,,80,100,70,75,95,100,30,95,1,0,0,1,0,,,,,,,,,
186,16/06/2020,2020,55-64,Female,100,100,77,34,22,34,19,81,55,0,100,100,100,88,62,15,82,72,26,100,95,82,95,90,76,0,94,1,0,0,0,0,,,,,,,,,
187,16/06/2020,2020,18-24,Female,100,74,0,1,73,50,53,12,59,10,73,81,75,43,0,40,80,37,39,98,57,64,27,34,68,31,89,1,0,0,1,0,,,,,,,,,
188,16/06/2020,2020,55-64,Male,100,100,0,0,50,30,23,90,70,21,100,79,79,51,35,39,70,70,40,90,70,70,60,80,90,30,95,1,1,0,1,1,,,,,,,,,
189,16/06/2020,2020,55-64,Female,100,100,0,1,62,44,24,96,14,100,100,14,50,52,54,10,52,50,40,100,69,25,40,82,3,0,83,1,1,0,0,,,,,,,,,,
190,16/06/2020,2020,45-54,Female,95,76,2,19,26,81,76,86,54,71,52,82,65,74,53,31,37,81,45,60,70,82,81,90,83,32,95,1,1,1,1,1,,,,,,,,,
191,16/06/2020,2020,45-54,Female,100,100,0,8,50,50,50,90,91,0,98,100,84,82,9,40,95,71,30,85,91,83,94,82,89,20,82,1,1,0,,,,,,,,,,,
192,16/06/2020,2020,55-64,Female,100,88,0,35,54,40,40,75,50,0,0,100,80,90,15,40,76,64,35,93,92,95,63,75,50,9,80,1,1,0,0,0,,,,,,,,,
193,16/06/2020,2020,45-54,Female,100,100,1,4,48,15,19,20,6,100,0,85,50,50,70,40,52,26,23,60,71,11,16,45,56,37,95,1,0,0,1,0,,,,,,,,,
194,16/06/2020,2020,25-34,Female,100,100,79,21,85,86,55,86,41,44,77,86,49,73,100,35,47,82,50,98,100,91,85,85,98,60,82,1,0,0,0,1,,,,,,,,,
195,16/06/2020,2020,65-74,Male,100,85,0,0,57,50,51,73,55,0,31,100,48,57,0,45,78,50,52,42,54,61,23,41,76,48,78,1,1,1,1,1,,,,,,,,,
196,16/06/2020,2020,35-44,Female,100,60,0,0,34,53,10,80,27,26,46,100,74,84,47,38,71,0,15,36,31,34,43,48,26,40,94,1,1,0,1,1,,,,,,,,,
197,16/06/2020,2020,45-54,Male,100,100,3,8,0,70,45,92,90,13,88,100,82,94,10,50,69,53,53,98,81,88,79,91,71,20,95,1,1,0,1,0,,,,,,,,,
198,16/06/2020,2020,45-54,Male,88,100,8,15,52,77,50,81,59,1,84,89,95,90,49,44,86,41,31,91,87,87,77,96,63,25,88,1,1,1,1,1,,,,,,,,,
199,16/06/2020,2020,55-64,Male,60,100,0,0,49,65,53,80,87,68,52,100,65,100,3,60,100,0,8,100,100,52,61,100,60,6,94,1,0,0,,,,,,,,,,,
200,16/06/2020,2020,45-54,Female,100,89,,5,50,5,,100,23,47,68,100,78,85,53,31,51,80,33,33,82,67,50,63,98,15,100,1,1,0,0,1,,,,,,,,,
201,16/06/2020,2020,35-44,Female,100,79,32,23,53,40,3,70,50,5,100,80,100,81,70,7,0,0,8,85,80,99,100,80,56,0,81,0,0,0,0,0,,,,,,,,,
202,16/06/2020,2020,35-44,Female,100,98,50,36,45,0,0,36,48,51,75,79,89,96,53,28,83,75,10,47,38,75,77,79,59,15,90,1,1,0,1,0,,,,,,,,,
203,16/06/2020,2020,35-44,Female,100,100,25,28,91,75,70,60,53,40,52,81,81,87,87,,15,11,18,91,70,74,70,86,85,10,89,1,1,0,0,0,,,,,,,,,
204,16/06/2020,2020,55-64,Female,88,99,54,12,55,43,43,63,68,49,75,75,81,79,81,40,29,41,18,40,48,65,64,72,74,25,77,1,1,0,1,1,,,,,,,,,
205,16/06/2020,2020,55-64,Female,100,100,,0,0,44,40,91,55,0,53,100,97,100,52,14,100,80,52,100,100,91,100,100,100,5,90,1,1,0,0,1,,,,,,,,,
206,16/06/2020,2020,35-44,Male,100,100,37,8,0,38,12,82,100,4,100,100,100,100,0,42,100,56,15,100,100,83,100,100,100,18,100,1,0,0,1,1,,,,,,,,,
207,16/06/2020,2020,35-44,Do not wish to state,100,100,8,5,7,49,49,79,49,5,50,100,29,52,10,20,50,51,29,100,52,50,52,51,37,20,75,1,0,0,0,0,,,,,,,,,
208,16/06/2020,2020,65-74,Male,100,90,66,0,52,72,57,71,90,0,99,75,99,80,90,40,90,50,60,85,90,80,95,80,90,35,100,1,1,0,1,1,,,,,,,,,
209,16/06/2020,2020,45-54,Female,100,100,100,10,70,70,70,85,50,48,28,75,72,75,69,50,35,40,30,93,50,64,75,89,95,5,99,1,1,0,0,0,,,,,,,,,
210,16/06/2020,2020,45-54,Female,73,99,83,100,100,60,50,60,70,50,50,80,90,95,100,25,60,50,60,75,72,65,80,95,85,25,90,1,1,1,0,1,,,,,,,,,
211,16/06/2020,2020,45-54,Male,100,100,82,5,37,80,72,90,79,15,82,49,77,75,64,45,87,50,27,100,99,86,90,78,83,25,87,1,1,1,1,1,,,,,,,,,
212,15/06/2020,2020,25-34,Female,100,100,50,6,43,60,100,56,31,70,74,100,100,80,80,0,0,100,6,66,100,80,100,100,80,0,100,1,0,0,0,0,,,,,,,,,
213,15/06/2020,2020,35-44,Female,71,40,44,15,50,60,50,90,46,80,19,86,50,56,5,40,49,24,10,27,84,46,60,53,51,58,56,1,1,1,1,1,,,,,,,,,
214,14/06/2020,2020,55-64,Male,100,100,0,0,0,90,80,95,50,23,90,80,95,90,75,60,80,50,50,100,100,50,90,80,100,0,95,1,1,0,0,,,,,,,,,,
215,14/06/2020,2020,55-64,Male,100,77,0,3,31,51,82,79,77,0,99,91,34,56,87,49,95,50,15,79,74,83,100,72,89,6,57,1,0,0,0,,,,,,,,,,
216,12/06/2020,2020,65-74,Female,6,100,56,46,63,99,39,75,67,54,89,65,74,68,100,37,100,82,55,100,100,75,88,100,100,21,35,1,1,1,0,1,,,,,,,,,
217,11/06/2020,2020,45-54,Male,100,100,100,0,100,50,50,100,100,0,40,100,100,100,100,40,100,100,50,100,100,100,100,100,100,12,100,1,1,0,0,1,,,,,,,,,
218,09/06/2020,2020,35-44,Male,100,100,51,0,70,64,34,43,76,81,0,89,66,45,89,0,0,3,53,50,36,63,64,61,28,26,99,1,1,0,1,1,,,,,,,,,
219,06/06/2020,2020,65-74,Male,100,100,0,0,51,42,28,85,33,0,100,78,94,84,78,0,80,85,60,100,100,61,60,84,98,0,92,1,1,0,0,0,,,,,,,,,
220,06/06/2020,2020,55-64,Female,90,100,0,15,30,70,80,80,95,90,100,95,100,95,100,20,90,90,40,90,95,95,95,80,90,10,95,1,1,0,0,,,,,,,,,,
221,13/03/2020,2020,15-18,Male,99,99,50,0,50,73,86,99,99,0,99,90,80,100,50,8,71,100,60,100,100,100,100,100,75,10,70,1,1,0,1,1,,,,,,,,,
222,13/03/2020,2020,15-18,Male,99,99,51,39,49,49,58,78,98,0,95,99,63,92,70,18,39,51,8,75,74,51,50,54,49,,72,1,1,0,0,,,,,,,,,,
223,13/03/2020,2020,15-18,Male,99,99,99,,99,72,43,81,82,63,64,49,82,70,51,18,62,41,50,58,80,66,99,65,79,10,84,1,1,1,1,0,,,,,,,,,
224,13/03/2020,2020,18-24,Female,98,99,51,,46,53,84,87,99,0,65,68,68,50,31,34,35,64,60,100,99,50,51,77,67,3,91,1,1,0,0,,,,,,,,,,
225,13/03/2020,2020,18-24,Female,93,90,0,26,51,49,49,76,50,52,4,48,79,65,4,24,50,50,20,50,67,39,60,84,38,10,86,1,0,1,0,,,,,,,,,,
226,13/03/2020,2020,18-24,Female,100,99,50,,68,61,63,99,23,16,0,58,50,71,20,26,52,36,40,68,40,84,74,55,100,12,81,1,1,1,0,1,,,,,,,,,
227,13/03/2020,2020,65-74,Female,0,100,100,0,100,100,99,99,1,50,99,99,50,100,100,51,49,50,51,99,99,99,100,99,51,50,100,1,1,1,1,1,,,,,,,,,
