response_id,date,year,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
350,01/11/2019,2019,35-44,Female,98,99,1,1,1,10,10,90,30,40,50,90,50,50,40,40,20,20,10,60,60,60,60,50,50,30,70,1,1,0,1,1,,,,,,,,,
351,01/11/2019,2019,45-54,Female,100,100,40,0,100,100,100,,100,0,100,100,100,100,50,50,100,100,0,100,100,100,100,100,100,25,100,1,1,0,0,1,,,,,,,,,
352,01/11/2019,2019,35-44,Male,90,93,96,4,50,88,91,91,97,4,49,94,96,100,50,50,90,80,60,87,94,84,86,89,92,50,90,1,1,1,1,1,,,,,,,,,
353,01/11/2019,2019,45-54,Male,100,100,0,0,0,0,0,100,100,50,50,97,50,95,37,57,75,91,15,37,85,81,74,95,94,15,95,1,1,0,1,1,,,,,,,,,
354,01/11/2019,2019,55-64,Female,99,99,0,0,8,72,52,57,50,17,25,55,73,52,50,0,0,0,7,50,50,50,50,97,98,0,50,1,1,0,1,0,,,,,,,,,
355,01/11/2019,2019,25-34,Male,47,93,4,4,4,47,43,90,97,48,49,96,95,93,94,60,89,91,21,95,94,85,88,99,50,20,97,1,1,0,0,,,,,,,,,,
356,01/11/2019,2019,35-44,Female,0,100,50,0,0,36,35,65,46,0,50,99,61,50,35,58,30,40,26,85,86,85,50,66,96,15,80,1,0,0,1,1,,,,,,,,,
357,01/11/2019,2019,35-44,Female,100,100,80,20,47,40,30,65,67,25,85,80,95,80,95,25,95,90,50,98,98,85,90,80,83,15,90,1,1,0,0,,,,,,,,,,
358,01/11/2019,2019,45-54,Male,100,70,100,0,100,50,60,80,60,0,100,80,100,50,50,60,80,80,40,100,100,100,100,100,20,60,90,1,0,0,1,1,,,,,,,,,
359,01/11/2019,2019,55-64,Female,10,98,50,10,1,92,87,5,95,5,51,87,95,90,47,5,5,21,60,94,88,86,90,50,7,60,96,1,1,1,0,,,,,,,,,,
360,01/11/2019,2019,35-44,Female,98,98,98,2,10,98,85,98,15,45,60,85,95,95,60,10,5,5,25,95,100,75,95,90,50,0,30,1,1,0,0,,,,,,,,,,
361,01/11/2019,2019,35-44,Female,50,95,0,0,0,95,95,95,97,0,97,87,50,95,95,0,50,96,50,96,96,94,94,93,94,50,50,1,1,1,0,0,,,,,,,,,
362,01/11/2019,2019,35-44,Female,100,100,20,20,35,60,70,100,60,50,60,70,70,70,40,40,80,75,30,90,90,80,80,70,80,20,100,1,1,0,,,,,,,,,,,
363,01/11/2019,2019,35-44,Female,93,95,95,15,94,95,95,95,50,5,50,90,50,50,95,25,50,35,20,,25,25,25,50,50,50,95,1,1,1,1,1,,,,,,,,,
364,01/11/2019,2019,35-44,Male,100,100,0,0,0,5,50,95,50,50,70,100,50,75,50,50,25,50,2,100,98,50,90,80,100,15,100,1,0,0,,1,,,,,,,,,
365,01/11/2019,2019,35-44,Female,100,95,80,27,72,55,53,30,75,80,82,80,45,70,53,40,70,53,15,72,72,50,75,73,80,35,80,1,0,,0,,,,,,,,,,
366,01/11/2019,2019,45-54,Male,96,97,65,8,63,33,63,63,92,35,49,69,58,61,50,44,66,62,29,73,88,63,87,71,85,44,78,1,0,0,1,1,,,,,,,,,
367,01/11/2019,2019,35-44,Female,100,100,0,0,0,100,100,100,51,0,50,100,50,100,0,30,50,50,15,50,50,100,100,100,50,20,50,1,1,0,1,1,,,,,,,,,
368,01/11/2019,2019,35-44,Female,99,95,50,10,24,85,100,97,67,1,50,99,99,85,80,60,87,85,35,90,75,55,73,81,61,10,50,1,1,0,1,0,,,,,,,,,
369,01/11/2019,2019,45-54,Female,100,100,0,0,0,15,15,100,100,0,100,100,65,100,0,30,50,25,44,100,100,100,100,75,100,47,70,1,0,0,1,0,,,,,,,,,
370,27/10/2019,2019,18-24,Male,100,52,52,0,0,0,50,35,100,0,50,90,60,80,20,39,75,100,30,100,100,85,90,15,75,20,95,1,1,1,1,1,,,,,,,,,
371,11/11/2022,2022,25-34,Male,95,90,100,5,68,5,10,75,100,1,95,50,95,80,75,40,85,80,8,50,50,75,95,95,96,30,80,1,1,0,1,1,85,50,80,80,79,1,1,,
372,11/11/2022,2022,35-44,Male,100,90,50,0,59,89,38,41,77,50,50,75,59,61,93,45,80,54,2,67,65,75,50,57,51,13,88,1,1,0,1,1,71,100,52,21,46,1,1,,
373,09/11/2022,2022,35-44,Female,22,98,47,15,71,10,16,71,81,47,100,53,72,51,51,,48,25,27,68,89,52,53,70,51,60,52,1,1,0,0,,23,23,11,10,38,1,1,,
374,08/11/2022,2022,65-74,Male,100,100,5,2,50,75,50,88,75,0,21,71,20,52,17,0,0,50,60,100,100,51,50,57,85,0,70,1,0,0,0,0,0,0,75,25,64,1,1,,
375,07/11/2022,2022,35-44,Male,100,69,50,32,73,35,39,69,69,0,44,100,100,59,0,40,73,48,51,100,100,80,51,49,55,51,71,1,0,0,1,1,100,73,74,42,69,1,1,,
376,07/11/2022,2022,35-44,Female,100,75,100,20,100,75,75,95,51,,25,50,75,50,100,37,75,50,5,50,50,80,100,75,100,14,81,1,0,0,0,0,50,75,20,20,75,1,1,,
377,07/11/2022,2022,35-44,Male,100,85,40,30,80,90,50,100,85,0,40,80,50,75,25,50,90,40,11,90,90,65,60,79,80,20,95,1,1,0,1,0,90,89,50,60,35,1,1,,
378,07/11/2022,2022,45-54,Female,100,100,1,0,0,61,40,81,60,0,12,100,100,100,39,40,27,89,60,83,84,38,72,65,93,24,94,1,0,0,0,0,98,3,56,98,29,1,1,,
379,07/11/2022,2022,55-64,Female,100,72,0,18,2,78,41,89,71,20,95,100,94,87,11,40,86,82,60,99,84,88,61,87,64,33,82,1,1,0,1,1,71,51,73,50,85,1,1,,
380,05/11/2022,2022,65-74,Female,93,86,54,34,70,70,81,76,85,17,89,86,92,82,62,35,77,67,56,88,90,87,97,87,92,5,83,1,1,0,0,1,76,70,87,40,94,1,1,,
381,04/11/2022,2022,35-44,Female,100,50,22,18,31,40,18,82,89,0,33,100,52,70,11,21,40,69,13,67,82,71,50,75,69,26,90,0,0,0,0,,40,30,6,47,67,1,1,,
382,04/11/2022,2022,45-54,Female,100,100,0,7,29,82,54,74,64,80,21,100,64,81,46,40,72,61,60,79,64,77,44,77,48,0,82,1,1,0,0,0,64,72,34,44,62,1,1,,
383,04/11/2022,2022,25-34,Female,100,66,100,71,72,46,62,76,55,6,84,88,86,85,70,47,77,41,15,61,64,78,100,81,74,21,81,1,1,0,1,1,68,82,100,67,86,1,1,,
384,01/11/2022,2022,55-64,Male,100,73,49,16,52,34,32,59,77,0,27,100,100,70,72,41,75,,35,53,53,72,100,71,78,23,77,1,1,1,1,1,51,73,67,49,55,1,1,,
385,31/10/2022,2022,45-54,Female,100,95,0,0,0,50,25,85,70,50,100,75,80,80,85,1,100,100,60,100,100,100,100,100,100,10,100,1,1,0,1,0,100,100,50,50,100,1,1,,
386,30/10/2022,2022,25-34,Female,100,100,54,21,57,48,46,51,76,0,45,69,100,51,48,0,72,27,8,51,50,50,69,79,100,45,100,1,0,0,0,0,80,100,23,52,49,1,1,,
387,29/10/2022,2022,35-44,Female,77,83,71,11,50,69,50,87,52,67,60,77,89,85,18,40,81,60,20,71,71,84,68,75,88,30,88,1,0,0,0,0,71,91,29,25,89,1,1,,
388,29/10/2022,2022,35-44,Female,100,68,0,23,51,60,44,71,59,58,73,86,57,71,15,27,69,63,35,83,80,59,47,71,67,22,84,1,1,0,0,1,73,32,41,41,70,1,1,,
389,28/10/2022,2022,65-74,Male,0,84,2,1,0,71,58,95,89,0,97,100,97,94,99,31,89,72,24,93,93,83,82,82,80,20,75,1,1,1,0,,91,70,94,73,84,1,1,,
390,28/10/2022,2022,25-34,Female,100,100,50,23,55,52,40,51,35,44,50,71,76,79,32,39,48,50,50,93,89,30,56,50,70,51,83,1,1,0,1,1,63,70,71,50,51,1,1,,
391,28/10/2022,2022,45-54,Female,100,100,100,0,100,0,2,100,100,100,100,100,0,100,0,40,100,100,60,100,100,100,100,0,,15,99,1,1,0,1,1,100,100,0,0,100,1,1,,
392,28/10/2022,2022,45-54,Male,15,80,49,25,50,60,74,80,81,1,80,75,70,65,31,40,75,74,60,80,75,70,70,70,80,40,80,1,1,0,0,,60,80,80,65,60,1,1,,
393,28/10/2022,2022,35-44,Female,100,86,0,9,44,59,40,87,52,22,100,79,100,89,72,27,24,52,45,88,73,86,100,75,76,30,100,1,1,0,0,1,88,80,49,37,83,1,1,,
394,28/10/2022,2022,35-44,Male,100,100,100,25,70,80,80,100,70,0,90,100,90,90,100,40,100,75,50,100,100,90,100,70,100,20,100,1,0,0,0,0,80,50,100,50,75,1,1,,
395,26/10/2022,2022,45-54,Female,100,71,60,5,10,70,65,95,95,0,50,90,70,60,60,32,80,50,30,50,50,40,60,25,90,30,80,1,0,0,1,0,55,60,90,70,65,1,1,,
396,03/10/2022,2022,45-54,Non binary,100,70,40,4,70,60,60,80,20,0,95,90,78,66,55,18,16,66,20,100,100,40,30,70,100,30,70,1,0,0,1,1,6,26,,36,44,0,0,,
397,29/09/2022,2022,45-54,Female,100,66,0,1,0,74,63,69,80,52,53,0,50,90,68,40,70,80,25,79,69,78,75,94,100,30,100,1,0,0,1,0,70,50,51,30,73,1,1,,
398,29/09/2022,2022,35-44,Male,100,90,0,0,50,50,50,85,50,0,80,80,70,75,80,40,80,60,30,90,90,50,75,50,70,20,100,1,1,1,0,1,30,85,20,20,70,1,1,,
399,24/09/2022,2022,55-64,Female,100,30,52,13,100,42,27,33,8,100,0,51,51,50,53,40,60,9,18,40,50,27,20,1,85,39,84,1,0,0,0,,73,52,51,45,18,1,1,,
400,24/09/2022,2022,55-64,Female,100,71,58,25,78,60,58,74,49,0,100,100,76,76,61,20,66,81,55,82,87,90,100,50,97,41,71,0,0,0,1,0,48,53,97,72,92,1,1,,
401,22/09/2022,2022,45-54,Female,100,71,44,9,58,32,9,39,52,,15,61,80,58,69,22,58,69,60,47,50,49,56,65,64,40,84,1,1,0,0,,59,63,33,21,67,1,1,,
402,22/09/2022,2022,45-54,Male,100,50,0,0,0,50,50,50,50,0,0,50,30,50,0,40,100,80,20,50,50,80,80,49,100,0,80,0,0,0,0,,100,0,80,0,80,0,0,,
403,22/09/2022,2022,55-64,Female,100,100,0,18,0,50,50,85,51,75,100,100,100,,100,40,100,100,24,100,51,30,100,68,42,60,100,1,0,0,1,1,100,100,100,61,72,1,1,,
404,21/09/2022,2022,35-44,Male,100,98,5,7,39,33,27,100,52,5,97,58,100,100,100,40,77,41,48,100,100,79,80,75,90,15,81,1,0,0,1,0,74,100,82,67,53,1,1,,
405,21/09/2022,2022,35-44,Male,100,100,0,30,35,64,47,100,22,0,52,61,56,78,39,43,5,8,60,88,100,53,57,85,92,28,73,1,1,0,1,1,58,5,94,68,78,1,1,,
406,21/09/2022,2022,45-54,Female,100,100,52,0,57,53,54,51,75,7,9,87,89,91,74,40,87,83,28,87,86,93,94,90,90,25,88,1,1,0,1,1,78,86,90,68,94,1,1,,
407,21/09/2022,2022,45-54,Female,100,100,56,16,84,80,30,80,75,25,100,80,100,85,40,45,70,30,12,100,100,95,90,100,60,5,95,1,0,0,1,1,3,75,10,2,95,1,1,,
408,21/09/2022,2022,35-44,Female,100,100,50,31,51,57,54,100,50,0,100,95,81,76,36,40,24,53,20,100,100,51,50,60,100,20,100,1,0,0,0,0,59,68,50,52,100,1,1,,
