Respondent ID,Collector ID,Start Date,Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,10. Trust local council,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,27. Family Wellbeing,28. Access to Natural Environment,29. Work Travel Time,30. Basic Life Skills,31. Newlands Resident,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready,36. Vote General election 2020,37. Vote Local elections 2019,38. Satisfaction income,39. Confident in finding a new job,40. Personal mental health,41. Confident water safety,42. Optimal use of land,43. Location,44. Voted General elections 2023,45. Voted Local Elections 2022
,,,06/16/2020 08:25:30 PM,6037,25-34,Female,100,100,26,20,70,70,60,80,80,30,100,90,90,95,11,30,80,90,32,100,100,85,70,75,75,40,100,No,No,No,No,No,,,,,,,,,,
,,,06/16/2020 08:25:31 PM,6037,45-54,Female,100,84,0,25,100,89,85,90,90,2,90,8,96,50,7,40,94,86,30,90,100,91,93,90,100,35,100,Yes,Yes,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 08:19:30 PM,6037,45-54,Female,100,85,3,3,48,70,48,70,79,1,96,94,50,86,74,40,79,78,32,92,90,81,84,78,85,61,94,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 08:16:16 PM,6037,25-34,Female,100,100,0,10,50,75,80,85,100,0,95,100,85,85,100,37,70,65,100,100,100,75,70,80,90,35,85,Yes,No,No,Yes,Yes,,,,,,,,,,
,,,06/16/2020 07:59:15 PM,6037,45-54,Female,100,100,0,11,48,38,46,57,7,4,6,71,76,75,53,37,76,64,32,76,73,72,53,74,60,22,53,Yes,Yes,No,No,No,,,,,,,,,,
,,,06/16/2020 08:00:49 PM,6037,25-34,Female,100,80,0,5,50,50,50,80,100,0,90,70,80,80,70,16,50,15,,80,100,70,75,95,100,30,95,Yes,No,No,Yes,No,,,,,,,,,,
,,,06/16/2020 07:46:22 PM,6037,55-64,Female,100,100,77,34,22,34,19,81,55,0,100,100,100,88,62,15,82,72,26,100,95,82,95,90,76,0,94,Yes,No,No,No,No,,,,,,,,,,
,,,06/16/2020 07:35:38 PM,6037,45-54,Male,100,80,100,10,100,75,51,80,100,10,100,100,100,100,51,40,100,100,80,,,,,,,,,,,,,,,,,,,,,,,
,,,06/16/2020 07:42:55 PM,6037,18-24,Female,100,74,0,1,73,50,53,12,59,10,73,81,75,43,0,40,80,37,39,98,57,64,27,34,68,31,89,Yes,No,No,Yes,No,,,,,,,,,,
,,,06/16/2020 07:36:50 PM,6037,55-64,Male,100,100,0,0,50,30,23,90,70,21,100,79,79,51,35,39,70,70,40,90,70,70,60,80,90,30,95,Yes,Yes,No,Yes,Yes,,,,,,,,,,
