Timestamp,1. Postcode,2. Age range,3. Gender,4. Language,5. Belonging,6. Cultural activities,7. Te Reo,8. Cultural knowledge,9. Trust NZ government,voted 2020 General Election?,10. Trust local council,voted 2019 Local Elections?,11. Trust NZ Police,12. Safety,13. Discrimination,14. Loneliness,15. Independence,16. Support in crisis,17. Level of control,18. Volunteering time,19. Paid working hours,20. Job Satisfaction,38. Satisfaction income,39. Confident in finding a new job,21. Work life Balance,22. Leisure time,23. Be Yourself in NZ,24. Be Yourself in Newlands,25. Life Satisfaction,26. Meaning and Purpose,40. Personal mental health,27. Family Wellbeing,28. Access to Natural Environment,41. Confident water safety,42. Optimal use of land,29. Work Travel Time,30. Basic Life Skills,43. Location,32. Home Disaster Ready,33. Neigbourhood Support Group,34. Out of Newlands During Day,35. Place out of Newland Disaster Ready
2021-11-06 08:40:SS,6037,35-44,Female,100,100,14,32,42,67,Yes,7,Yes,93,36,9,75,100,100,89,81,44,83,89,65,72,46,98,100,83,96,98,79,62,67,30,41,99,Johnsonville,Yes,No,Yes,Yes
2021-11-06 08:07:SS,6035,35-44,Female,100,100,1,15,27,85,Yes,90,Yes,91,95,2,100,80,100,90,91,10,50,45,70,90,95,100,100,95,95,90,90,90,80,50,12,95,"Khandallah, Broadmeadows or Kaiwharawhara",No,No,No,No
2021-11-06 07:32:SS,5024,65-74,Male,97,99,63,37,78,55,Yes,37,Yes,94,32,0,84,61,79,82,74,40,91,56,20,61,31,71,37,95,95,84,83,56,30,23,45,91,,Yes,No,Yes,Yes
2021-11-05 16:34:SS,6037,35-44,Male,100,100,0,15,100,64,Yes,40,Yes,80,65,0,2,75,100,100,0,38,84,100,100,88,48,87,100,100,100,85,89,77,41,27,41,100,Johnsonville,Yes,No,Yes,Yes
2021-10-01 07:14:SS,6037,55-64,Male,99,70,50,7,50,6,Yes,18,Yes,62,79,1,0,48,86,52,99,40,49,70,67,69,30,51,50,64,80,61,66,77,72,19,23,98,"Newlands, Paparangi, Bellevue or Woodridge",Yes,Yes,Yes,Yes
2021-11-05 14:56:SS,6035,45-54,Female,100,77,0,0,77,50,Yes,50,Yes,80,90,0,52,85,,90,51,40,60,40,85,80,29,80,70,75,60,75,75,100,80,70,40,100,"Khandallah, Broadmeadows or Kaiwharawhara",Yes,No,Yes,Yes
2021-11-05 14:22:SS,6037,45-54,Female,100,86,39,24,74,77,Yes,59,Yes,95,55,43,96,98,73,63,80,45,84,76,78,55,31,85,87,88,80,86,69,66,42,40,52,89,Johnsonville,Yes,Yes,Yes,Yes
2021-11-05 11:36:SS,6037,45-54,Female,100,99,33,0,13,76,Yes,50,Yes,81,81,3,95,95,62,76,24,24,100,43,80,100,64,97,100,100,92,100,75,95,100,39,60,100,Johnsonville,No,No,Yes,Yes
2021-11-05 11:06:SS,6037,35-44,Female,100,94,0,0,51,71,Yes,46,Yes,93,28,0,52,18,75,92,33,5,99,100,29,100,20,100,100,57,88,50,72,77,38,54,16,100,Johnsonville,No,No,No,
2021-11-05 09:32:SS,6037,75-84,Female,100,97,100,13,47,72,Yes,32,Yes,85,100,17,99,100,100,100,86,0,,,,,,100,100,100,100,100,100,76,100,75,,100,Johnsonville,Yes,No,No,
2021-11-04 21:36:SS,6037,35-44,Female,100,80,0,20,60,70,Yes,65,Yes,100,20,0,0,100,85,90,0,20,80,50,45,100,20,100,100,95,100,80,100,100,70,70,0,100,Johnsonville,No,No,No,No
2021-11-04 20:51:SS,6037,35-44,Female,90,80,1,5,49,25,Yes,1,Yes,75,10,49,5,37,49,85,50,40,85,75,86,50,52,50,50,60,40,20,49,75,20,40,32,75,Johnsonville,Yes,Yes,Yes,Yes
2021-11-04 17:30:SS,6037,35-44,Female,100,91,15,38,,36,Yes,29,No,69,43,0,50,86,79,74,54,22,62,99,79,54,53,78,90,73,76,74,49,97,52,23,31,89,Johnsonville,No,No,No,No
