date,age_range,gender,language,belonging,cultural_activities,te_reo,cultural_knowledge,trust_nz_government,trust_local_council,trust_nz_police,safety,discrimination,loneliness,independence,support_in_crisis,level_of_control,volunteering_time,paid_working_hours,job_satisfaction,work_life_balance,leisure_time,be_yourself_in_nz,be_yourself_in_newlands,life_satisfaction,meaning_and_purpose,family_wellbeing,access_to_natural_environment,work_travel_time,basic_life_skills,newlands_resident,home_disaster_ready,neighbourhood_support_group,out_of_newlands_during_day,place_out_of_newlands_disaster_ready,satisfaction_income,confident_in_finding_a_new_job,confident_water_safety,optimal_use_of_land,personal_mental_health,vote_local_elections_2019,vote_general_election_2020,voted_local_elections_2022,voted_general_elections_2023
11-Jan-19,45-54,Female,100,100,50,0,74,65,65,84,46,0,100,100,85,78,84,27,95,77,60,100,100,84,100,88,90,50,100,0,,,,,66,57,69,55,74,,,,
11-Jan-19,35-44,Female,100,100,0,0,50,50,50,100,78,0,50,100,50,75,0,50,100,75,15,100,100,50,50,50,100,30,100,0,,0,,,66,57,69,55,74,,,,
11-Jan-19,35-44,Female,100,100,0,0,0,100,100,100,51,0,50,100,50,100,0,30,50,50,15,50,50,100,100,100,50,20,50,1,1,0,1,1,66,57,69,55,74,,,,
11-Jan-19,45-54,Female,100,100,0,0,0,15,15,100,100,0,100,100,65,100,0,30,50,25,44,100,100,100,100,75,100,47,70,1,0,0,1,0,66,57,69,55,74,,,,
22-Jun-20,45-54,Female,100,100,0,0,47,54,38,50,100,55,54,100,100,100,100,40,32,41,18,100,100,70,100,80,100,16,100,1,1,0,0,0,66,57,69,55,74,,,,
22-Jun-20,45-54,Female,100,100,0,0,51,80,80,90,50,0,2,70,75,60,100,20,40,46,15,75,75,70,70,80,90,50,76,1,1,0,0,1,66,57,69,55,74,,,,
19-Jun-20,45-54,Female,100,100,87,0,1,88,48,100,53,54,70,92,80,88,77,30,81,28,5,94,100,95,93,91,98,8,93,1,1,0,1,1,66,57,69,55,74,,,,
19-Jun-20,25-34,Female,100,100,73,0,70,50,50,50,50,2,49,50,100,82,11,0,83,70,60,100,100,100,100,100,100,40,36,1,1,1,1,1,66,57,69,55,74,,,,
19-Jun-20,35-44,Female,100,100,100,0,100,0,0,60,100,0,0,100,100,100,50,0,0,100,60,100,100,100,100,100,100,0,100,1,1,0,0,,66,57,69,55,74,,,,
18-Jun-20,65-74,Female,100,100,73,0,87,70,52,87,20,0,100,100,90,100,100,0,,,60,100,100,95,100,100,100,,92,1,1,1,0,,66,57,69,55,74,,,,
17-Jun-20,35-44,Female,100,100,0,0,0,54,53,73,71,0,100,85,80,85,0,49,75,35,11,100,89,87,100,87,85,30,100,1,0,0,1,1,66,57,69,55,74,,,,
16-Jun-20,55-64,Male,100,100,0,0,50,30,23,90,70,21,100,79,79,51,35,39,70,70,40,90,70,70,60,80,90,30,95,1,1,0,1,1,66,57,69,55,74,,,,
16-Jun-20,55-64,Female,100,100,,0,0,44,40,91,55,0,53,100,97,100,52,14,100,80,52,100,100,91,100,100,100,5,90,1,1,0,0,1,66,57,69,55,74,,,,
14-Jun-20,55-64,Male,100,100,0,0,0,90,80,95,50,23,90,80,95,90,75,60,80,50,50,100,100,50,90,80,100,0,95,1,1,0,0,,66,57,69,55,74,,,,
